圖片,商品,價格1,價格2,網址
https://cf.shopee.tw/file/8087865aaf93ce51f3c32f2665c772b2_tn,精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）<啃書>,322,322,https://shopee.tw//精修重音版新制對應絕對合格！日檢必背單字N2（25K＋MP3）-啃書--i.110866578.2363626123
https://cf.shopee.tw/file/f55917339c90733dd0cb4b4bdc147bdd_tn,史上最強日檢N2文法+單字精選模擬試題,170,170,https://shopee.tw//史上最強日檢N2文法-單字精選模擬試題-i.43157388.2112454780
https://cf.shopee.tw/file/3ed4844e5382d27e6321458f4f9e2bf5_tn,我識出版 日檢【新日檢JLPT N2關鍵單字2500(蔡麗玲)】(2019年4月),300,300,https://shopee.tw//我識出版-日檢【新日檢JLPT-N2關鍵單字2500(蔡麗玲)】(2019年4月)-i.97363674.2091986295
https://cf.shopee.tw/file/781568efd5816742c3876f5e7e211350_tn,"<書本熊2館>[山田社]新制日檢!絕對合格N1,N2單字全真模考三回+詳解（25K）：9789862465073",291,291,https://shopee.tw//-書本熊2館-山田社-新制日檢!絕對合格N1-N2單字全真模考三回-詳解（25K）：9789862465073-i.155768384.6510541078
https://cf.shopee.tw/file/9d6de26a413d9100939c5d485c102676_tn,日文檢定：考上日檢N2的單字筆記本、耳感記憶N2文法,200,200,https://shopee.tw//日文檢定：考上日檢N2的單字筆記本、耳感記憶N2文法-i.110392907.1877446995
https://cf.shopee.tw/file/5d5db3228285671856a3003bab0841e1_tn,用聽的背日檢Ｎ2單字3700（長20K+日中朗讀MP3）,277,277,https://shopee.tw//用聽的背日檢Ｎ2單字3700（長20K-日中朗讀MP3）-i.111324738.1754880038
https://cf.shopee.tw/file/2b92325306158e138f722a4df8c59ce5_tn,合格快手！新日檢必考單字速成N1 N2 N3 N4 N5（附MP3）,255,255,https://shopee.tw//合格快手！新日檢必考單字速成N1-N2-N3-N4-N5（附MP3）-i.192717465.3439327785
https://cf.shopee.tw/file/e2da8ba123d6213265ffdf34f4108ec2_tn,精靈王的夢想書坊--全新《日檢單字+文法一本搞定N2（附MP3）》雅典文化｜9789869608633,199,199,https://shopee.tw//精靈王的夢想書坊-全新《日檢單字-文法一本搞定N2（附MP3）》雅典文化｜9789869608633-i.41038553.1649511750
https://cf.shopee.tw/file/b86e7d3b8dc79df5403568907fa9f4ec_tn,【新書】新制日檢！絕對合格N1，N2單字全真模考三回＋詳解...山田社,277,277,https://shopee.tw//【新書】新制日檢！絕對合格N1，N2單字全真模考三回＋詳解...山田社-i.27589027.1558270655
https://cf.shopee.tw/file/66ea9ad6d2d38dfd35665631de90b81a_tn,"浩瀚星海【日語學習】全新《新制日檢！絕對合格N1,N2單字全真模考三回+詳解》山田社│9789862465073",221,221,https://shopee.tw//浩瀚星海【日語學習】全新《新制日檢！絕對合格N1-N2單字全真模考三回-詳解》山田社│9789862465073-i.35699463.1556994442
https://cf.shopee.tw/file/9e7f6d7eca9eb88e7647e65ae834413d_tn,新制對應 絕對合格！日檢單字N2(增訂版),260,260,https://shopee.tw//新制對應-絕對合格！日檢單字N2(增訂版)-i.2249108.1520808628
https://cf.shopee.tw/file/8b992cd336a1794f2fa715ad3952c056_tn,"日檢N2套書：精修版 新制對應 絕對合格！日檢必背 [單字,文法,閱讀,聽力] N2熱銷套書（25K＋MP3）","1,013","1,013",https://shopee.tw//日檢N2套書：精修版-新制對應-絕對合格！日檢必背-單字-文法-閱讀-聽力-N2熱銷套書（25K＋MP3）-i.133999892.2683079411
https://cf.shopee.tw/file/236dda535e32c16838cdbd477e9c444e_tn,日檢N2 單字 文法 合售,520,520,https://shopee.tw//日檢N2-單字-文法-合售-i.47955478.1479574182
https://cf.shopee.tw/file/a6894324896979da95aa5f25b6a1b242_tn,日檢N2 單字,300,300,https://shopee.tw//日檢N2-單字-i.47955478.1479557440
https://cf.shopee.tw/file/80647b94b21e076aa45561a3e9046fb3_tn,9789862465530【大師圖書山田社-】絕對合格！新制日檢 必勝N2情境分類單字（25K＋MP3）,292,292,https://shopee.tw//9789862465530【大師圖書山田社-】絕對合格！新制日檢-必勝N2情境分類單字（25K＋MP3）-i.59926168.2622571595
https://cf.shopee.tw/file/817ce799edeaeae45c83dd4c7e81f3cc_tn,絕對合格日檢單字N2新制對應,250,250,https://shopee.tw//絕對合格日檢單字N2新制對應-i.19234589.1256256145
https://cf.shopee.tw/file/87c4516afbf3295914b88a3d96b69c15_tn,♥ 御菁書坊 ♥ 世一--日檢N2單字大全《搶分進考場》,195,195,https://shopee.tw//♥-御菁書坊-♥-世一-日檢N2單字大全《搶分進考場》-i.12181237.1080685304
https://cf.shopee.tw/file/296d21431b37c004dd00367ff62874b1_tn,日檢單字+文法一本搞定N2(+MP3)[75折]11100888530,224,224,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-75折-11100888530-i.159834670.7218429171
https://cf.shopee.tw/file/0b72b2386d417129fa007b987e664366_tn,日檢單字+文法一本搞定N2(+MP3),288,288,https://shopee.tw//日檢單字-文法一本搞定N2(-MP3)-i.20570968.2418089827
https://cf.shopee.tw/file/eca036b388d50c006201b5fc0ebfef7e_tn,精修版 新制對應 絕對合格！日檢必背單字N2（25K＋MP3）  大家學標準日本語DVD,100,150,https://shopee.tw//精修版-新制對應-絕對合格！日檢必背單字N2（25K＋MP3）-大家學標準日本語DVD-i.22460971.434451516
https://cf.shopee.tw/file/0485a556ef4db190bbb84b14ffc63b7b_tn,絕對合格 N2日檢必背單字,250,250,https://shopee.tw//絕對合格-N2日檢必背單字-i.1733070.286618578
https://cf.shopee.tw/file/2c5f179696c3354063801ad7b8101c9b_tn,✨新日檢N2單字、文法、詞彙書,300,300,https://shopee.tw//✨新日檢N2單字、文法、詞彙書-i.3120326.31199388
https://cf.shopee.tw/file/bb14cea163ed07b640f46f228afd82de_tn,<書本熊>[希伯崙] IKU老師說一定會考的新日檢高分單字N2~N1佐藤生：9789865776190,493,493,https://shopee.tw//-書本熊-希伯崙-IKU老師說一定會考的新日檢高分單字N2~N1佐藤生：9789865776190-i.25236816.6635257326
https://cf.shopee.tw/file/2f781f969bb808e53f6b714636b420bd_tn,"新日檢JLPT N2 關鍵540題+關鍵單字2,500",583,583,https://shopee.tw//新日檢JLPT-N2-關鍵540題-關鍵單字2-500-i.121090005.2088075154
https://cf.shopee.tw/file/ae64685e81b274edb884d14d2f56ce64_tn,"(山田社)精修重音版 新制日檢！絕對合格N1,N2,N3,N4,N5必背單字大全（25K+MP3）",460,460,https://shopee.tw//(山田社)精修重音版-新制日檢！絕對合格N1-N2-N3-N4-N5必背單字大全（25K-MP3）-i.163145167.6435668829
https://cf.shopee.tw/file/f7e1dbfb3e3a6845c0090b631cf346ee_tn,"新制日檢!絕對合格N1,N2單字全真模考三回+詳解 + 新制日檢!絕對合格N3,N4,N5單字全真模考三回+詳解",244,467,https://shopee.tw//新制日檢!絕對合格N1-N2單字全真模考三回-詳解-新制日檢!絕對合格N3-N4-N5單字全真模考三回-詳解-i.163113630.3501425212
